Rk,State,Players,HOF#,ASG,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF
1,Alaska,6,0,7,91.55,299,251,0.544,3.91,1181,642,209,84,21,61,4859,4580,2239,2110,581,1478,122,4221,163,14,139,20363
2,Alabama,215,4,120,884.7,4514,4321,0.511,3.84,21986,8824,5924,2698,453,1725,78440.2,77534,38698,33463,5886,27163,1693,46829,1995,234,1983,320504
3,Arkansas,110,1,33,403.09,2203,2050,0.518,3.95,9308,4510,2246,1552,216,498,38566.1,39452,19645,16938,3070,12930,718,21236,1013,81,853,160807
4,Arizona,82,0,10,138.55,923,1064,0.465,4.3,7299,1913,1853,326,66,361,18215.2,18519,9658,8700,1855,6966,520,11470,612,85,660,78741
5,California,1217,10,325,4306.62,26398,26613,0.498,4.01,156914,54597,42479,8980,1900,11766,471509.1,465524,234543,210127,46675,172854,13423,314547,14418,2334,16029,2018193
6,Colorado,69,2,28,277.02,1516,1545,0.495,3.98,9853,2873,3255,445,76,1093,27478,27164,13578,12139,2592,9768,704,18822,871,83,869,117135
7,Connecticut,96,1,15,257.8,1859,2009,0.481,3.88,9718,3749,2360,1705,176,472,34867,35895,19320,15019,2433,11939,604,17759,984,92,1235,150386
8,District of Columbia,50,0,1,105.48,902,1048,0.463,3.85,4020,1884,959,1039,95,144,17388,17931,10256,7441,950,6254,272,8434,558,40,731,74475
9,Delaware,34,0,2,129.99,840,923,0.476,4.05,3256,1940,594,987,70,80,16456.2,17472,9566,7412,988,6009,234,7503,583,40,592,71017
10,Florida,389,2,92,1077.76,6167,6050,0.505,4.1,40954,12287,10591,1494,318,2486,110246.2,108061,55678,50197,11649,40792,2865,82145,3892,516,3780,467753
11,Georgia,274,2,90,864.74,5173,4994,0.509,3.93,25768,10553,6339,3130,444,1457,91039.1,91727,46646,39784,6516,32833,1632,51335,2812,225,2307,383523
