Rk,State,Players,HOF#,ASG,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS
1,Unknown,1,0,0,-0.43,12,38,33,2,5,0,0,0,2,0,,2,,0.152,0.222,0.152,0.374
2,Alaska,12,0,7,95.83,1905,4330,3840,447,859,167,24,85,415,34,33,282,1115,0.224,0.283,0.346,0.629
3,Alabama,489,12,320,2580.25,141898,481884,431449,59282,116245,19271,4246,9576,55040,8907,3336,39682,49529,0.269,0.333,0.4,0.734
4,Arkansas,225,6,118,1148.45,59046,203694,182384,24026,48728,7903,1826,3701,22168,3870,1725,16491,22038,0.267,0.33,0.391,0.722
5,Arizona,147,0,19,409.17,29454,90657,81294,10618,20558,4026,427,2270,9681,1292,570,7279,15507,0.253,0.318,0.397,0.714
6,California,2474,24,859,12062.93,745861,2415506,2140878,282817,557174,101598,14899,55525,270082,35957,17590,216238,361756,0.26,0.331,0.399,0.73
7,Colorado,102,2,32,393.75,16628,47139,41609,5156,10333,1798,360,608,4234,882,399,3944,6704,0.248,0.318,0.353,0.671
8,Connecticut,208,3,30,785.94,55248,190228,171515,23834,44413,6976,1912,2594,19569,4187,893,14354,21907,0.259,0.32,0.367,0.687
9,District of Columbia,113,0,12,326.5,23872,82438,74041,9990,18660,2678,762,702,6971,2171,669,6410,8180,0.252,0.315,0.337,0.652
10,Delaware,64,0,14,265.17,14811,48712,43187,5745,11036,1928,350,995,5169,1262,360,4248,7447,0.256,0.325,0.386,0.711
11,Florida,716,9,252,3151.15,191913,640014,570408,76179,149314,28116,3450,16957,73660,10609,4334,55178,108279,0.262,0.33,0.412,0.742
12,Georgia,550,6,184,2469.76,130456,430241,382586,53322,101829,18387,3319,9691,49742,7511,2739,37971,60235,0.266,0.335,0.408,0.743
13,Hawaii,48,0,8,220.32,10699,29853,26666,3199,6586,1198,166,580,2905,531,198,2143,4629,0.247,0.311,0.37,0.68
14,Iowa,227,6,25,1172.33,52858,167866,149762,19700,39018,6274,1580,1882,17085,3252,860,13078,19589,0.261,0.324,0.361,0.685
15,Idaho,32,1,25,200.81,8024,21389,18329,2359,4391,689,91,733,2588,99,75,2503,3775,0.24,0.332,0.407,0.739
16,Illinois,1130,17,195,4208.63,269920,888487,789805,104142,205209,34310,7832,13164,91683,17181,6141,74370,103946,0.26,0.327,0.373,0.7
